"municipio";"cod_ibge";"nome_meso";"nome_micro";"count"
"ABARE";"2900207";"Vale São-Franciscano da Bahia";"Paulo Afonso";"1439"
"ACAJUTIBA";"2900306";"Nordeste Baiano";"Alagoinhas";"1384"
"ADUSTINA";"2900355";"Nordeste Baiano";"Ribeira do Pombal";"1677"
"AGUA FRIA";"2900405";"Centro Norte Baiano";"Feira de Santana";"436"
"AIQUARA";"2900603";"Centro Sul Baiano";"Jequié";"145"
"ALCOBACA";"2900801";"Sul Baiano";"Porto Seguro";"3576"
"ALMADINA";"2900900";"Sul Baiano";"Ilhéus-Itabuna";"411"
"AMARGOSA";"2901007";"Centro Sul Baiano";"Jequié";"6283"
"AMELIA RODRIGUES";"2901106";"Metropolitana de Salvador";"Catu";"3202"
"AMERICA DOURADA";"2901155";"Centro Norte Baiano";"Irecê";"1463"
"ANAGE";"2901205";"Centro Sul Baiano";"Vitória da Conquista";"140"
"ANDARAI";"2901304";"Centro Sul Baiano";"Seabra";"994"
"ANDORINHA";"2901353";"Centro Norte Baiano";"Senhor do Bonfim";"1628"
"ANGICAL";"2901403";"Extremo Oeste Baiano";"Cotegipe";"792"
"ANGUERA";"2901502";"Centro Norte Baiano";"Feira de Santana";"1364"
"ANTAS";"2901601";"Nordeste Baiano";"Ribeira do Pombal";"1438"
"ANTONIO CARDOSO";"2901700";"Centro Norte Baiano";"Feira de Santana";"1281"
"ANTONIO GONCALVES";"2901809";"Centro Norte Baiano";"Senhor do Bonfim";"999"
"APORA";"2901908";"Nordeste Baiano";"Alagoinhas";"2645"
"APUAREMA";"2901957";"Centro Sul Baiano";"Jequié";"285"
"ARACATU";"2902005";"Centro Sul Baiano";"Brumado";"602"
"ARACI";"2902104";"Nordeste Baiano";"Serrinha";"6060"
"ARAMARI";"2902203";"Nordeste Baiano";"Alagoinhas";"836"
"ARATACA";"2902252";"Sul Baiano";"Ilhéus-Itabuna";"82"
"ARATUIPE";"2902302";"Metropolitana de Salvador";"Santo Antônio de Jesus";"573"
"AURELINO LEAL";"2902401";"Sul Baiano";"Ilhéus-Itabuna";"3320"
"BAIANOPOLIS";"2902500";"Extremo Oeste Baiano";"Barreiras";"85"
"BAIXA GRANDE";"2902609";"Centro Norte Baiano";"Itaberaba";"2092"
"BANZAE";"2902658";"Nordeste Baiano";"Ribeira do Pombal";"742"
"BARRA DA ESTIVA";"2902807";"Centro Sul Baiano";"Seabra";"81"
"BARRA DO CHOCA";"2902906";"Centro Sul Baiano";"Vitória da Conquista";"2956"
"BARRA DO MENDES";"2903003";"Centro Norte Baiano";"Irecê";"1551"
"BARRA DO ROCHA";"2903102";"Sul Baiano";"Ilhéus-Itabuna";"783"
"BARREIRAS";"2903201";"Extremo Oeste Baiano";"Barreiras";"70902"
"BARRO ALTO";"2903235";"Centro Norte Baiano";"Irecê";"1716"
"BARROCAS";"2903276";"Nordeste Baiano";"Serrinha";"3155"
"BELMONTE";"2903409";"Sul Baiano";"Ilhéus-Itabuna";"1924"
"BELO CAMPO";"2903508";"Centro Sul Baiano";"Vitória da Conquista";"734"
"BIRITINGA";"2903607";"Nordeste Baiano";"Serrinha";"2053"
"BOA NOVA";"2903706";"Centro Sul Baiano";"Vitória da Conquista";"878"
"BOA VISTA DO TUPIM";"2903805";"Centro Norte Baiano";"Itaberaba";"1509"
"BOM JESUS DA SERRA";"2903953";"Centro Sul Baiano";"Vitória da Conquista";"546"
"BONINAL";"2904001";"Centro Sul Baiano";"Seabra";"40"
"BONITO";"2904050";"Centro Sul Baiano";"Seabra";"824"
"BOTUPORA";"2904209";"Centro Sul Baiano";"Boquira";"355"
"BREJOES";"2904308";"Centro Sul Baiano";"Jequié";"375"
"BREJOLANDIA";"2904407";"Extremo Oeste Baiano";"Cotegipe";"209"
"BROTAS DE MACAUBAS";"2904506";"Centro Sul Baiano";"Boquira";"426"
"BRUMADO";"2904605";"Centro Sul Baiano";"Brumado";"13850"
"BUERAREMA";"2904704";"Sul Baiano";"Ilhéus-Itabuna";"4763"
"CAATIBA";"2904803";"Centro Sul Baiano";"Vitória da Conquista";"127"
"CABACEIRAS DO PARAGUACU";"2904852";"Metropolitana de Salvador";"Santo Antônio de Jesus";"2792"
"CACHOEIRA";"2904902";"Metropolitana de Salvador";"Santo Antônio de Jesus";"5732"
"CACULE";"2905008";"Centro Sul Baiano";"Guanambi";"1533"
"CAEM";"2905107";"Centro Norte Baiano";"Jacobina";"401"
"CAETANOS";"2905156";"Centro Sul Baiano";"Vitória da Conquista";"124"
"CAETITE";"2905206";"Centro Sul Baiano";"Guanambi";"10500"
"CAFARNAUM";"2905305";"Centro Norte Baiano";"Irecê";"2235"
"CAIRU";"2905404";"Sul Baiano";"Valença";"2436"
"CALDAS DE CIPO";"2907905";"Nordeste Baiano";"Ribeira do Pombal";"3123"
"CALDEIRAO GRANDE";"2905503";"Centro Norte Baiano";"Jacobina";"2073"
"CAMACAN";"2905602";"Sul Baiano";"Ilhéus-Itabuna";"5654"
"CAMACARI";"2905701";"Metropolitana de Salvador";"Salvador";"81161"
"CAMAMU";"2905800";"Sul Baiano";"Valença";"3181"
"CAMPO FORMOSO";"2906006";"Centro Norte Baiano";"Senhor do Bonfim";"4224"
"CANAPOLIS";"2906105";"Extremo Oeste Baiano";"Santa Maria da Vitória";"1414"
"CANARANA";"2906204";"Centro Norte Baiano";"Irecê";"7461"
"CANAVIEIRAS";"2906303";"Sul Baiano";"Ilhéus-Itabuna";"3541"
"CANDEAL";"2906402";"Nordeste Baiano";"Serrinha";"855"
"CANDEIAS";"2906501";"Metropolitana de Salvador";"Salvador";"44649"
"CANDIBA";"2906600";"Centro Sul Baiano";"Guanambi";"504"
"CANDIDO SALES";"2906709";"Centro Sul Baiano";"Vitória da Conquista";"2739"
"CANSANCAO";"2906808";"Nordeste Baiano";"Euclides da Cunha";"9950"
"CANUDOS";"2906824";"Nordeste Baiano";"Euclides da Cunha";"2812"
"CAPELA DO ALTO ALEGRE";"2906857";"Nordeste Baiano";"Serrinha";"2236"
"CAPIM GROSSO";"2906873";"Centro Norte Baiano";"Jacobina";"4535"
"CARAIBAS";"2906899";"Centro Sul Baiano";"Brumado";"416"
"CARAVELAS";"2906907";"Sul Baiano";"Porto Seguro";"2356"
"CARDEAL DA SILVA";"2907004";"Nordeste Baiano";"Entre Rios";"2806"
"CASTRO ALVES";"2907301";"Metropolitana de Salvador";"Santo Antônio de Jesus";"7495"
"CATOLANDIA";"2907400";"Extremo Oeste Baiano";"Barreiras";"141"
"CATURAMA";"2907558";"Centro Sul Baiano";"Boquira";"735"
"CENTRAL";"2907608";"Centro Norte Baiano";"Irecê";"5198"
"CHORROCHO";"2907707";"Vale São-Franciscano da Bahia";"Paulo Afonso";"518"
"CICERO DANTAS";"2907806";"Nordeste Baiano";"Ribeira do Pombal";"5624"
"COARACI";"2908002";"Sul Baiano";"Ilhéus-Itabuna";"3514"
"CONCEICAO DA FEIRA";"2908200";"Centro Norte Baiano";"Feira de Santana";"6366"
"CONCEICAO DO ALMEIDA";"2908309";"Metropolitana de Salvador";"Santo Antônio de Jesus";"975"
"CONCEICAO DO COITE";"2908408";"Nordeste Baiano";"Serrinha";"24684"
"CONCEICAO DO JACUIPE";"2908507";"Centro Norte Baiano";"Feira de Santana";"4142"
"CONDE";"2908606";"Nordeste Baiano";"Entre Rios";"4914"
"CONDEUBA";"2908705";"Centro Sul Baiano";"Brumado";"1327"
"CONTENDAS DO SINCORA";"2908804";"Centro Sul Baiano";"Seabra";"243"
"CORACAO DE MARIA";"2908903";"Centro Norte Baiano";"Feira de Santana";"2106"
"CORDEIROS";"2909000";"Centro Sul Baiano";"Brumado";"1428"
"CORONEL JOAO SA";"2909208";"Nordeste Baiano";"Jeremoabo";"1215"
"COTEGIPE";"2909406";"Extremo Oeste Baiano";"Cotegipe";"600"
"CRAVOLANDIA";"2909505";"Centro Sul Baiano";"Jequié";"226"
"CRISOPOLIS";"2909604";"Nordeste Baiano";"Alagoinhas";"658"
"CRISTOPOLIS";"2909703";"Extremo Oeste Baiano";"Cotegipe";"1036"
"CRUZ DAS ALMAS";"2909802";"Metropolitana de Salvador";"Santo Antônio de Jesus";"9703"
"DARIO MEIRA";"2910008";"Centro Sul Baiano";"Vitória da Conquista";"466"
"DIAS DAVILA";"2910057";"Metropolitana de Salvador";"Salvador";"23902"
"DOM MACEDO COSTA";"2910206";"Metropolitana de Salvador";"Santo Antônio de Jesus";"590"
"ELISIO MEDRADO";"2910305";"Centro Norte Baiano";"Feira de Santana";"269"
"ENCRUZILHADA";"2910404";"Centro Sul Baiano";"Itapetinga";"776"
"ENTRE RIOS";"2910503";"Nordeste Baiano";"Entre Rios";"7167"
"ESPLANADA";"2910602";"Nordeste Baiano";"Entre Rios";"3804"
"EUCLIDES DA CUNHA";"2910701";"Nordeste Baiano";"Euclides da Cunha";"14595"
"EUNAPOLIS";"2910727";"Sul Baiano";"Porto Seguro";"19357"
"FATIMA";"2910750";"Nordeste Baiano";"Ribeira do Pombal";"7337"
"FEIRA DE SANTANA";"2910800";"Centro Norte Baiano";"Feira de Santana";"140231"
"FILADELFIA";"2910859";"Centro Norte Baiano";"Senhor do Bonfim";"2700"
"FIRMINO ALVES";"2910909";"Sul Baiano";"Ilhéus-Itabuna";"298"
"FLORESTA AZUL";"2911006";"Sul Baiano";"Ilhéus-Itabuna";"1042"
"FORMOSA DO RIO PRETO";"2911105";"Extremo Oeste Baiano";"Barreiras";"943"
"GANDU";"2911204";"Sul Baiano";"Ilhéus-Itabuna";"6789"
"GAVIAO";"2911253";"Nordeste Baiano";"Serrinha";"573"
"GENTIO DO OURO";"2911303";"Centro Norte Baiano";"Irecê";"185"
"GLORIA";"2911402";"Vale São-Franciscano da Bahia";"Paulo Afonso";"552"
"GONGOGI";"2911501";"Sul Baiano";"Ilhéus-Itabuna";"596"
"GOVERNADOR MANGABEIRA";"2911600";"Metropolitana de Salvador";"Santo Antônio de Jesus";"3567"
"GUAJERU";"2911659";"Centro Sul Baiano";"Brumado";"55"
"GUANAMBI";"2911709";"Centro Sul Baiano";"Guanambi";"20080"
"GUARATINGA";"2911808";"Sul Baiano";"Porto Seguro";"1212"
"HELIOPOLIS";"2911857";"Nordeste Baiano";"Ribeira do Pombal";"994"
"IACU";"2911907";"Centro Norte Baiano";"Itaberaba";"4576"
"IBIASSUCE";"2912004";"Centro Sul Baiano";"Guanambi";"729"
"IBICOARA";"2912202";"Centro Sul Baiano";"Seabra";"26"
"IBICUI";"2912301";"Centro Sul Baiano";"Vitória da Conquista";"1494"
"IBIPEBA";"2912400";"Centro Norte Baiano";"Irecê";"3255"
"IBIPITANGA";"2912509";"Centro Sul Baiano";"Boquira";"81"
"IBIQUERA";"2912608";"Centro Norte Baiano";"Itaberaba";"145"
"IBIRAPITANGA";"2912707";"Sul Baiano";"Ilhéus-Itabuna";"963"
"IBIRAPUA";"2912806";"Sul Baiano";"Porto Seguro";"786"
"IBIRATAIA";"2912905";"Sul Baiano";"Ilhéus-Itabuna";"1937"
"IBITIARA";"2913002";"Centro Sul Baiano";"Boquira";"103"
"IBITITA";"2913101";"Centro Norte Baiano";"Irecê";"3890"
"IBOTIRAMA";"2913200";"Vale São-Franciscano da Bahia";"Barra";"6585"
"ICHU";"2913309";"Nordeste Baiano";"Serrinha";"1602"
"IGRAPIUNA";"2913457";"Sul Baiano";"Valença";"545"
"IGUAI";"2913507";"Centro Sul Baiano";"Vitória da Conquista";"3477"
"ILHEUS";"2913606";"Sul Baiano";"Ilhéus-Itabuna";"40547"
"INHAMBUPE";"2913705";"Nordeste Baiano";"Alagoinhas";"3813"
"IPECAETA";"2913804";"Centro Norte Baiano";"Feira de Santana";"2176"
"IPIAU";"2913903";"Sul Baiano";"Ilhéus-Itabuna";"8689"
"IPIRA";"2914000";"Centro Norte Baiano";"Feira de Santana";"12984"
"IPUPIARA";"2914109";"Centro Sul Baiano";"Boquira";"755"
"IRAJUBA";"2914208";"Centro Sul Baiano";"Jequié";"155"
"IRAMAIA";"2914307";"Centro Sul Baiano";"Jequié";"501"
"IRAQUARA";"2914406";"Centro Norte Baiano";"Irecê";"524"
"IRARA";"2914505";"Centro Norte Baiano";"Feira de Santana";"2118"
"IRECE";"2914604";"Centro Norte Baiano";"Irecê";"23620"
"ITABELA";"2914653";"Sul Baiano";"Porto Seguro";"3229"
"ITABERABA";"2914703";"Centro Norte Baiano";"Itaberaba";"21302"
"ITABUNA";"2914802";"Sul Baiano";"Ilhéus-Itabuna";"13"
"ITACARE";"2914901";"Sul Baiano";"Ilhéus-Itabuna";"4651"
"ITAETE";"2915007";"Centro Sul Baiano";"Seabra";"674"
"ITAGI";"2915106";"Centro Sul Baiano";"Jequié";"756"
"ITAGIBA";"2915205";"Sul Baiano";"Ilhéus-Itabuna";"892"
"ITAGIMIRIM";"2915304";"Sul Baiano";"Porto Seguro";"662"
"ITAGUACU DA BAHIA";"2915353";"Vale São-Franciscano da Bahia";"Barra";"1190"
"ITAJU DO COLONIA";"2915403";"Sul Baiano";"Ilhéus-Itabuna";"670"
"ITAMARAJU";"2915601";"Sul Baiano";"Porto Seguro";"20720"
"ITAMARI";"2915700";"Sul Baiano";"Ilhéus-Itabuna";"191"
"ITAMBE";"2915809";"Centro Sul Baiano";"Itapetinga";"2526"
"ITANAGRA";"2915908";"Metropolitana de Salvador";"Catu";"314"
"ITANHEM";"2916005";"Sul Baiano";"Porto Seguro";"3599"
"ITAPARICA";"2916104";"Metropolitana de Salvador";"Salvador";"10063"
"ITAPE";"2916203";"Sul Baiano";"Ilhéus-Itabuna";"2245"
"ITAPEBI";"2916302";"Sul Baiano";"Ilhéus-Itabuna";"1121"
"ITAPICURU";"2916500";"Nordeste Baiano";"Ribeira do Pombal";"2955"
"ITAPITANGA";"2916609";"Sul Baiano";"Ilhéus-Itabuna";"985"
"ITAQUARA";"2916708";"Centro Sul Baiano";"Jequié";"217"
"ITARANTIM";"2916807";"Centro Sul Baiano";"Itapetinga";"2165"
"ITATIM";"2916856";"Centro Norte Baiano";"Feira de Santana";"4519"
"ITIRUCU";"2916906";"Centro Sul Baiano";"Jequié";"86"
"ITIUBA";"2917003";"Centro Norte Baiano";"Senhor do Bonfim";"5769"
"ITUACU";"2917201";"Centro Sul Baiano";"Brumado";"233"
"ITUBERA";"2917300";"Sul Baiano";"Valença";"2703"
"IUIU";"2917334";"Centro Sul Baiano";"Guanambi";"1613"
"JACARACI";"2917409";"Centro Sul Baiano";"Guanambi";"65"
"JACOBINA";"2917508";"Centro Norte Baiano";"Jacobina";"16718"
"JAGUAQUARA";"2917607";"Centro Sul Baiano";"Jequié";"8166"
"JAGUARARI";"2917706";"Centro Norte Baiano";"Senhor do Bonfim";"2277"
"JAGUARIPE";"2917805";"Metropolitana de Salvador";"Santo Antônio de Jesus";"2401"
"JANDAIRA";"2917904";"Nordeste Baiano";"Entre Rios";"250"
"JEQUIE";"2918001";"Centro Sul Baiano";"Jequié";"59092"
"JEREMOABO";"2918100";"Nordeste Baiano";"Jeremoabo";"4072"
"JIQUIRICA";"2918209";"Centro Sul Baiano";"Jequié";"266"
"JITAUNA";"2918308";"Centro Sul Baiano";"Jequié";"272"
"JOAO DOURADO";"2918357";"Centro Norte Baiano";"Irecê";"2835"
"JUCURUCU";"2918456";"Sul Baiano";"Porto Seguro";"497"
"JUSSARA";"2918506";"Centro Norte Baiano";"Irecê";"3172"
"JUSSIAPE";"2918605";"Centro Sul Baiano";"Seabra";"159"
"LAFAIETE COUTINHO";"2918704";"Centro Sul Baiano";"Jequié";"348"
"LAGOA REAL";"2918753";"Centro Sul Baiano";"Guanambi";"522"
"LAJE";"2918803";"Centro Sul Baiano";"Jequié";"621"
"LAJEDAO";"2918902";"Sul Baiano";"Porto Seguro";"445"
"LAJEDINHO";"2919009";"Centro Norte Baiano";"Itaberaba";"435"
"LAJEDO DO TABOCAL";"2919058";"Centro Sul Baiano";"Jequié";"42"
"LAMARAO";"2919108";"Nordeste Baiano";"Serrinha";"1398"
"LAPAO";"2919157";"Centro Norte Baiano";"Irecê";"3757"
"LAURO DE FREITAS";"2919207";"Metropolitana de Salvador";"Salvador";"37868"
"LENCOIS";"2919306";"Centro Sul Baiano";"Seabra";"1367"
"LICINIO DE ALMEIDA";"2919405";"Centro Sul Baiano";"Guanambi";"41"
"LIVRAMENTO DE NOSSA SENHORA";"2919504";"Centro Sul Baiano";"Livramento do Brumado";"4992"
"LUIZ EDUARDO MAGALHAES";"2919553";"Extremo Oeste Baiano";"Barreiras";"34421"
